"Country, Other","Total cases","New cases","Total deaths","New deaths","Total recovered","New recovered","Active cases","Serious, Critical","Tot Cases/1M pop","Deaths/1M pop","Total tests","Test/1M pop","Population","Continent"
"World","263,740,703","+683,493","5,242,201","+8,644","238,024,262","+462,879","20,474,240","87,099","33,835","672.5","","","","All"
"Asia","82,214,757","+90,433","1,215,458","+1,551","79,494,841","+80,532","1,504,458","30,870","","","","","","Asia"
"Europe","74,107,710","+417,278","1,419,797","+4,383","65,148,910","+259,272","7,539,003","22,015","","","","","","Europe"
"North America","59,290,493","+140,693","1,196,434","+2,150","47,817,170","+91,377","10,276,889","19,501","","","","","","North America"
"USA","49,584,003","+131,460","805,236","+1,748","39,318,563","+81,829","9,460,204","13,343","148,562","2,413","755,685,902","2,264,159","333,760,103","North America"
"South America","39,008,494","+20,624","1,182,464","+405","37,096,290","+24,269","729,740","12,706","","","","","","South America"
"India","34,606,541","+9,765","469,724","+477","34,028,506","+10,207","108,311","8,944","24,732","336","642,412,315","459,105","1,399,272,504","Asia"
"Brazil","22,105,872","+11,413","615,020","+266","21,339,118","+17,487","151,734","8,318","102,959","2,864","63,776,166","297,040","214,705,739","South America"
"UK","10,275,122","+48,077","145,140","+171","9,095,983","+33,422","1,033,999","916","150,237","2,122","363,637,864","5,316,915","68,392,645","Europe"
"Russia","9,669,718","+32,837","276,419","+1,226","8,364,932","+35,679","1,028,367","2,300","66,220","1,893","225,500,000","1,544,273","146,023,393","Europe"
"Turkey","8,818,144","+22,556","77,038","+196","8,350,494","+24,113","390,612","1,405","102,982","900","108,036,172","1,261,695","85,627,781","Asia"
"Africa","8,748,390","+12,802","223,815","+149","8,135,065","+5,173","389,510","1,847","","","","","","Africa"
"France","7,725,114","+49,610","119,227","+96","7,137,512","+12,488","468,375","1,886","117,979","1,821","162,981,031","2,489,067","65,478,756","Europe"
"Iran","6,121,757","+4,312","129,912","+82","5,892,574","+9,104","99,271","4,312","71,583","1,519","38,439,240","449,481","85,519,258","Asia"
"Germany","5,953,310","+71,887","102,552","+415","4,937,600","+44,300","913,158","4,636","70,734","1,218","83,816,414","995,863","84,164,610","Europe"
"Argentina","5,332,629","+1,881","116,597","+8","5,194,780","+1,089","21,252","632","116,472","2,547","26,260,861","573,572","45,784,786","South America"
"Spain","5,174,720","+10,536","88,080","+28","4,924,551","+1,411","162,089","741","110,617","1,883","66,213,858","1,415,415","46,780,515","Europe"
"Colombia","5,071,817","+2,173","128,586","+58","4,911,593","+2,021","31,638","342","98,190","2,489","28,160,705","545,190","51,653,038","South America"
"Italy","5,043,624","+15,089","133,931","+93","4,709,906","+9,457","199,787","686","83,593","2,220","119,905,510","1,987,314","60,335,462","Europe"
"Indonesia","4,256,687","+278","143,840","+10","4,104,964","+307","7,883","","15,332","518","54,746,617","197,192","277,630,880","Asia"
"Mexico","3,887,873","+3,307","294,246","+296","3,245,219","+2,272","348,408","4,798","29,711","2,249","11,861,186","90,643","130,856,396","North America"
"Poland","3,569,135","+29,062","84,154","+571","3,048,528","+10,077","436,453","1,870","94,452","2,227","24,433,048","646,587","37,787,697","Europe"
"Ukraine","3,450,341","+11,960","86,532","+557","2,972,192","+26,160","391,617","177","79,574","1,996","15,917,165","367,091","43,360,236","Europe"
"South Africa","2,976,613","+8,561","89,871","+28","2,850,142","+584","36,600","546","49,306","1,489","19,529,031","323,487","60,370,339","Africa"
"Philippines","2,832,909","+371","48,712","+167","2,768,839","+791","15,358","1,023","25,373","436","24,238,501","217,090","111,651,639","Asia"
"Netherlands","2,661,691","+18,515","19,459","+45","2,120,332","+7,629","521,900","605","154,851","1,132","19,205,114","1,117,307","17,188,747","Europe"
"Malaysia","2,638,221","+5,439","30,474","+49","2,544,007","+6,803","63,740","500","80,056","925","37,882,464","1,149,530","32,954,740","Asia"
