"Country, Other",Total cases,New cases,Total deaths,New deaths,Total recovered,New recovered,Active cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total tests,Test/1M pop,Population,Continent,,
World,"262,643,230","230,153","5,228,845","4,125","237,176,384","247,529","20,238,001","83,861","33,695",670.8,,,,All,,
Asia,"82,073,833","37,952","1,213,298",658,"79,367,285","56,088","1,493,250","29,076",,,,,,Asia,,
Europe,"73,514,150","188,154","1,414,205","3,382","64,795,171","185,522","7,304,774","21,219",,,,,,Europe,,
North America,"58,992,275","1,066","1,192,027",56,"47,511,809","2,866","10,288,439","18,822",,,,,,North America,,
USA,"49,301,070",,"801,326",,"39,032,255",,"9,467,489","12,650","147,723","2,401","752,495,440","2,254,743","333,738,930",North America,,
South America,"38,969,489","1,150","1,181,560",10,"37,047,757",946,"740,172","12,669",,,,,,South America,,
India,"34,587,822",,"468,980",,"34,018,299","10,116","100,543","8,944","24,721",335,"641,303,848","458,361","1,399,124,343",Asia,,
Brazil,"22,084,749",,"614,428",,"21,304,115",,"166,206","8,318","102,868","2,862","63,776,166","297,063","214,689,251",South America,,
UK,"10,189,059",,"144,810",,"9,025,773",,"1,018,476",925,"148,987","2,117","361,428,446","5,284,910","68,388,756",Europe,,
Russia,"9,636,881","32,648","275,193","1,229","8,329,253","33,442","1,032,435","2,300","65,996","1,885","224,900,000","1,540,171","146,022,711",Europe,,
Turkey,"8,770,372",,"76,635",,"8,301,883",,"391,854","1,405","102,436",895,"107,321,500","1,253,494","85,617,869",Asia,,
Africa,"8,725,008",495,"223,528",8,"8,124,661","1,953","376,819","1,914",,,,,,Africa,,
France,"7,628,327",,"119,016",,"7,113,141",,"396,170","1,563","116,504","1,818","162,981,031","2,489,127","65,477,182",Europe,,
Iran,"6,117,445","4,253","129,830",119,"5,883,470","10,029","104,145","3,334","71,543","1,518","38,439,240","449,542","85,507,509",Asia,,
Germany,"5,845,541","19,998","101,833",181,"4,893,300","40,500","850,408","4,459","69,456","1,210","83,816,414","995,897","84,161,690",Europe,,
Argentina,"5,328,416",,"116,554",,"5,192,404",,"19,458",614,"116,391","2,546","26,173,874","571,728","45,780,258",South America,,
Spain,"5,153,923",,"88,008",,"4,920,879",,"145,036",673,"110,173","1,881","66,213,858","1,415,421","46,780,318",Europe,,
Colombia,"5,067,348",,"128,473",,"4,907,484",,"31,391",342,"98,115","2,488","28,064,873","543,397","51,647,114",South America,,
Italy,"5,015,790",,"133,739",,"4,692,408",,"189,643",669,"83,130","2,217","118,611,763","1,965,840","60,336,430",Europe,,
Indonesia,"4,256,409",297,"143,830",11,"4,104,657",324,"7,922",,"15,333",518,"54,475,477","196,238","277,599,289",Asia,,
Mexico,"3,884,566",724,"293,950",53,"3,242,947","2,426","347,669","4,798","29,689","2,247","11,838,624","90,481","130,841,601",North America,,
Poland,"3,540,061","19,074","83,583",526,"3,038,451","15,680","418,027","1,825","93,682","2,212","24,340,316","644,126","37,788,148",Europe,,
Ukraine,"3,438,381","10,554","85,975",561,"2,946,032","25,318","406,374",177,"79,293","1,983","15,869,089","365,958","43,363,093",Europe,,
South Africa,"2,963,679",,"89,822",,"2,849,439",,"24,418",546,"49,098","1,488","19,434,381","321,963","60,362,167",Africa,,
Philippines,"2,832,734",425,"48,545",44,"2,768,389",909,"15,800","1,023","25,375",435,"24,146,328","216,296","111,635,697",Asia,,
Netherlands,"2,643,176","22,154","19,414",65,"2,112,703","8,140","511,059",604,"153,777","1,129","19,205,114","1,117,334","17,188,334",Europe,,
Malaysia,"2,627,903",,"30,370",,"2,532,036",,"65,497",507,"79,754",922,"37,643,236","1,142,428","32,950,208",Asia,,
Peru,"2,234,970",,"201,144",,N/A,N/A,N/A,962,"66,480","5,983","20,273,392","603,037","33,618,839",South America,,
Czechia,"2,150,042","17,599","33,069",54,"1,847,696",464,"269,277","1,022","200,246","3,080","43,666,605","4,066,929","10,736,997",Europe,,
Thailand,"2,115,872","4,306","20,769",37,"2,019,428","6,407","75,675","1,369","30,206",297,"14,913,135","212,902","70,046,951",Asia,,
Iraq,"2,081,172",724,"23,820",13,"2,045,021","1,355","12,331",103,"50,158",574,"16,341,046","393,830","41,492,616",Asia,,
Canada,"1,790,142",,"29,670",,"1,734,556",,"25,916",480,"46,852",777,"48,740,327","1,275,640","38,208,540",North America,,
Romania,"1,779,667","1,622","56,529",130,"1,686,752","3,548","36,386","1,146","93,388","2,966","16,019,397","840,620","19,056,639",Europe,,
Chile,"1,761,365",,"38,343",,"1,654,534",,"68,488",680,"91,039","1,982","25,551,531","1,320,665","19,347,472",South America,,
Belgium,"1,749,469","14,907","26,966",44,"1,333,810","8,055","388,693",722,"150,031","2,313","24,619,234","2,111,293","11,660,737",Europe,,
Japan,"1,727,221",78,"18,359",1,"1,708,006",104,856,41,"13,716",146,"27,874,331","221,347","125,930,320",Asia,,
Bangladesh,"1,576,284",273,"27,981",1,"1,540,965",368,"7,338","1,382","9,439",168,"10,888,751","65,201","167,001,564",Asia,,
Israel,"1,342,976",,"8,195",,"1,329,263",,"5,518",117,"144,003",879,"31,188,024","3,344,202","9,326,000",Asia,,
Pakistan,"1,284,840",475,"28,728",10,"1,242,236",327,"13,876",905,"5,662",127,"21,985,775","96,883","226,930,233",Asia,,
Serbia,"1,254,845","2,272","11,691",54,"1,193,265","3,773","49,889",199,"144,439","1,346","6,814,207","784,349","8,687,725",Europe,,
Vietnam,"1,238,082","13,972","25,252",197,"989,348","14,624","223,482","5,788","12,560",256,"68,317,914","693,070","98,572,901",Asia,,
Sweden,"1,204,859",,"15,119",,"1,158,493",293,"31,247",42,"118,262","1,484","13,708,481","1,345,547","10,188,038",Europe,,
Austria,"1,159,995","8,186","12,492",67,"1,007,909","13,818","139,594",642,"127,769","1,376","110,579,782","12,179,942","9,078,843",Europe,,
Portugal,"1,147,249","2,907","18,441",11,"1,075,237","3,693","53,571",116,"112,976","1,816","21,165,845","2,084,325","10,154,772",Europe,,
Hungary,"1,103,108","6,390","34,521",195,"882,659","5,408","185,928",513,"114,600","3,586","8,443,744","877,204","9,625,751",Europe,,
Switzerland,"1,009,900","5,429","11,531",3,"861,500","1,237","136,869",203,"115,499","1,319","12,403,612","1,418,555","8,743,836",Europe,,
Kazakhstan,"971,541",654,"12,696",18,"935,950","1,137","22,895",528,"50,884",665,"11,575,012","606,239","19,093,146",Asia,,
Cuba,"962,350",,"8,300",,"953,130",,920,25,"85,037",733,"11,083,208","979,353","11,316,865",North America,,
Morocco,"949,785",,"14,775",,"932,133",,"2,877",347,"25,309",394,"10,427,240","277,860","37,526,965",Africa,,
Jordan,"948,966",,"11,584",,"883,980",,"53,402","1,045","91,724","1,120","12,116,328","1,171,126","10,345,875",Asia,,
Greece,"931,183",,"18,067",,"835,882",,"77,234",657,"89,959","1,745","35,721,156","3,450,909","10,351,232",Europe,,
Georgia,"845,643","5,050","12,054",80,"788,201","4,214","45,388",,"212,560","3,030","11,560,729","2,905,898","3,978,367",Asia,,
Nepal,"821,366",245,"11,526",2,"802,909",256,"6,931",,"27,494",386,"4,622,560","154,732","29,874,656",Asia,,
UAE,"742,041",65,"2,147",1,"736,939",77,"2,955",,"73,771",213,"101,356,006","10,076,389","10,058,763",Asia,,
Tunisia,"717,309",,"25,365",,"690,903",,"1,041",58,"59,811","2,115","3,170,783","264,389","11,992,883",Africa,,
Bulgaria,"692,376",,"28,325",,"558,928",,"105,123",723,"100,714","4,120","6,549,700","952,732","6,874,648",Europe,,
Slovakia,"680,084","7,069","14,418",77,"555,525","6,354","110,141",585,"124,481","2,639","4,585,219","839,266","5,463,371",Europe,,
Lebanon,"668,605",,"8,716",,"632,623",,"27,266",186,"98,580","1,285","4,795,578","707,070","6,782,328",Asia,,
Belarus,"654,718","1,395","5,081",14,"641,570","1,438","8,067",,"69,319",538,"10,386,520","1,099,692","9,444,939",Europe,,
Guatemala,"617,621",,"15,933",,"600,146",,"1,542",5,"33,599",867,"3,111,321","169,258","18,382,147",North America,,
Croatia,"608,205","3,858","10,899",73,"567,869","4,239","29,437",314,"149,453","2,678","3,449,298","847,587","4,069,551",Europe,,
Azerbaijan,"588,318","1,678","7,856",23,"554,749","1,934","25,713",,"57,296",765,"5,539,284","539,472","10,267,975",Asia,,
Costa Rica,"566,560",,"7,287",,"543,875",,"15,398",92,"109,805","1,412","2,715,029","526,201","5,159,676",North America,,
Ireland,"564,657",,"5,652",,"441,593","1,970","117,412",115,"112,582","1,127","8,983,297","1,791,106","5,015,504",Europe,,
Sri Lanka,"563,267",,"14,328",,"529,662",,"19,277",,"26,150",665,"5,640,979","261,886","21,539,836",Asia,,
Saudi Arabia,"549,752",32,"8,836",2,"538,913",28,"2,003",40,"15,452",248,"31,494,154","885,228","35,577,451",Asia,,
Bolivia,"537,559","1,087","19,171",10,"492,921",975,"25,467",220,"45,183","1,611","2,593,083","217,955","11,897,322",South America,,
Ecuador,"526,615",,"33,219",,"443,880",,"49,516",759,"29,223","1,843","2,013,368","111,727","18,020,382",South America,,
Myanmar,"521,931",,"19,097",,"496,660",,"6,174",,"9,503",348,"5,562,001","101,267","54,923,970",Asia,,
Denmark,"487,401","4,148","2,895",12,"403,118",,"81,388",60,"83,732",497,"93,815,873","16,116,902","5,820,962",Europe,,
Panama,"477,608",,"7,362",,"467,598",,"2,648",20,"108,291","1,669","4,232,560","959,672","4,410,424",North America,,
Lithuania,"470,298","1,701","6,737",15,"435,768","3,362","27,793",127,"176,228","2,524","6,143,115","2,301,926","2,668,685",Europe,,
Paraguay,"463,001",,"16,469",,"445,723",,809,43,"63,810","2,270","1,946,045","268,199","7,255,974",South America,,
S. Korea,"447,230","3,030","3,624",44,"396,070","2,453","47,536",661,"8,713",71,"15,804,065","307,883","51,331,409",Asia,,
Venezuela,"431,296",,"5,144",,"418,472",,"7,680",681,"15,228",182,"3,359,014","118,600","28,322,293",South America,,
Palestine,"430,083",,"4,531",,"422,661",,"2,891",42,"81,636",860,"2,720,854","516,460","5,268,275",Asia,,
Slovenia,"420,898","2,482","5,224",16,"378,536","3,752","37,138",190,"202,419","2,512","1,936,323","931,220","2,079,341",Europe,,
Kuwait,"413,327",,"2,465",,"410,610",,252,,"94,810",565,"5,310,741","1,218,192","4,359,528",Asia,,
Dominican Republic,"407,113",,"4,204",,"399,463",,"3,446",196,"37,006",382,"2,453,480","223,019","11,001,208",North America,,
Uruguay,"399,504",,"6,130",,"391,288",,"2,086",15,"114,448","1,756","4,098,744","1,174,188","3,490,704",South America,,
Mongolia,"381,528",393,"2,003",8,"313,256",,"66,269",192,"113,799",597,"4,030,048","1,202,053","3,352,637",Asia,,
Honduras,"377,888",,"10,403",,"120,308",,"247,177",59,"37,317","1,027","1,121,382","110,738","10,126,457",North America,,
Libya,"372,636",427,"5,456",8,"345,986","1,899","21,194",,"53,212",779,"1,908,835","272,577","7,002,915",Africa,,
Ethiopia,"371,346",,"6,750",,"348,886",,"15,710",299,"3,121",57,"3,865,030","32,488","118,969,649",Africa,,
Oceania,"367,754","1,336","4,212",11,"328,995",154,"34,547",161,,,,,,Australia/Oceania,,
Moldova,"363,110",,"9,090",,"347,118",,"6,902",205,"90,309","2,261","2,196,983","546,413","4,020,739",Europe,,
Egypt,"357,629",,"20,412",,"296,897",,"40,320",90,"3,404",194,"3,693,367","35,158","105,051,654",Africa,,
Armenia,"338,518",398,"7,567",32,"317,175",977,"13,776",,"113,939","2,547","2,366,680","796,580","2,971,053",Asia,,
Oman,"304,554",4,"4,113",,"300,005",54,436,4,"57,579",778,"25,000,000","4,726,508","5,289,317",Asia,,
Bahrain,"277,628",,"1,394",,"275,929",,305,2,"155,562",781,"7,384,537","4,137,737","1,784,680",Asia,,
Bosnia and Herzegovina,"275,065",846,"12,586",31,"192,218",,"70,261",,"84,583","3,870","1,397,409","429,704","3,252,029",Europe,,
Norway,"263,798",,"1,050",,"88,952",,"173,796",62,"48,130",192,"8,576,127","1,564,704","5,480,991",Europe,,
Singapore,"263,486",,710,,"250,134",,"12,642",62,"44,544",120,"21,098,774","3,566,878","5,915,194",Asia,,
Kenya,"254,979",,"5,334",,"248,308",,"1,337",20,"4,599",96,"2,827,102","50,996","55,438,108",Africa,,
Latvia,"253,659",931,"4,179",24,"236,997",,"12,483",171,"136,613","2,251","5,334,912","2,873,219","1,856,772",Europe,,
Qatar,"243,290",,611,,"240,666",,"2,013",15,"86,648",218,"2,987,747","1,064,086","2,807,805",Asia,,
Estonia,"222,584",724,"1,798",,"202,174",859,"18,612",35,"167,635","1,354","2,334,155","1,757,921","1,327,793",Europe,,
North Macedonia,"215,125",,"7,569",,"199,460",,"8,096",,"103,264","3,633","1,468,996","705,145","2,083,253",Europe,,
Nigeria,"214,113",,"2,976",,"207,292",,"3,845",11,"1,004",14,"3,479,682","16,311","213,327,135",Africa,,
Algeria,"210,344",,"6,064",,"144,295",,"59,985",17,"4,678",135,"230,861","5,134","44,965,909",Africa,,
Australia,"210,237","1,095","2,006",9,"192,746",,"15,485",72,"8,112",77,"47,884,203","1,847,616","25,916,754",Australia/Oceania,,
Zambia,"210,169",19,"3,667",,"206,406",14,96,7,"10,999",192,"2,721,665","142,436","19,107,963",Africa,,
Albania,"199,750",,"3,092",,"189,227",,"7,431",23,"69,518","1,076","1,392,736","484,706","2,873,365",Europe,,
Botswana,"195,068",,"2,418",,"192,048",,602,1,"80,658","1,000","1,869,359","772,954","2,418,462",Africa,,
Uzbekistan,"193,208",143,"1,402",3,"189,859",195,"1,947",23,"5,657",41,"1,377,915","40,346","34,152,427",Asia,,
Finland,"186,538",916,"1,335",,"46,000",,"139,203",51,"33,593",240,"7,896,869","1,422,127","5,552,858",Europe,,
Kyrgyzstan,"183,351",66,"2,746",3,"178,230",118,"2,375",131,"27,465",411,"1,833,445","274,642","6,675,773",Asia,,
Afghanistan,"157,289",28,"7,308",,"140,549",19,"9,432","1,124","3,916",182,"792,156","19,724","40,162,033",Asia,,
Montenegro,"157,085",,"2,300",,"152,186",,"2,599",60,"250,064","3,661","904,728","1,440,241","628,178",Europe,,
Mozambique,"151,528",,"1,941",,"149,492",,95,8,"4,664",60,"976,445","30,057","32,486,827",Africa,,
Zimbabwe,"134,226",,"4,706",,"128,703",,817,12,"8,849",310,"1,588,646","104,739","15,167,676",Africa,,
Cyprus,"133,860",,594,,"124,370",,"8,896",46,"109,744",487,"9,477,138","7,769,751","1,219,748",Asia,,
Ghana,"130,920",,"1,209",,"129,042",,669,5,"4,093",38,"1,933,408","60,446","31,985,843",Africa,,
Namibia,"129,187",,"3,573",,"125,487",,127,2,"49,579","1,371","787,883","302,370","2,605,692",Africa,,
Uganda,"127,512",27,"3,252",,"97,537",25,"26,723",115,"2,669",68,"1,958,401","40,995","47,771,484",Africa,,
Cambodia,"120,134",22,"2,940",5,"116,507",19,687,,"7,048",172,"2,715,508","159,315","17,044,899",Asia,,
El Salvador,"119,803",,"3,776",2,"102,982",,"13,045",336,"18,340",578,"1,440,742","220,555","6,532,345",North America,,
Cameroon,"106,794",,"1,791",,"102,716",,"2,287",152,"3,887",65,"1,751,774","63,758","27,475,438",Africa,,
Rwanda,"100,344",,"1,342",,"45,521",,"53,481",1,"7,486",100,"3,471,879","259,020","13,403,894",Africa,,
China,"98,711",39,"4,636",,"93,285",36,790,7,69,3,"160,000,000","111,163","1,439,323,776",Asia,,
Maldives,"91,543",,250,,"89,547",,"1,746",23,"165,255",451,"1,747,617","3,154,834","553,949",Asia,,
Jamaica,"91,222",,"2,391",,"62,539",,"26,292",9,"30,618",803,"671,587","225,411","2,979,390",North America,,
Luxembourg,"89,010",,874,,"83,869",,"4,267",10,"139,009","1,365","3,685,146","5,755,163","640,320",Europe,,
Senegal,"73,987",,"1,885",,"72,091",3,11,2,"4,261",109,"874,023","50,334","17,364,537",Africa,,
Laos,"73,738","1,291",170,4,"7,339",,"66,229",,"9,932",23,"788,302","106,179","7,424,266",Asia,,
Trinidad and Tobago,"70,598",,"2,134",,"57,906",,"10,558",22,"50,216","1,518","444,476","316,155","1,405,878",North America,,
Angola,"65,155",,"1,733",,"63,206",,216,3,"1,899",51,"1,179,270","34,378","34,303,404",Africa,,
Malawi,"61,901",,"2,305",,"58,795",,801,67,"3,122",116,"441,082","22,248","19,825,270",Africa,,
Ivory Coast,"61,712",,704,,"60,721",,287,,"2,261",26,"1,131,105","41,437","27,297,192",Africa,,
Réunion,"59,048",,381,,"56,040",,"2,627",18,"65,296",421,"1,347,378","1,489,938","904,318",Africa,,
DRC,"58,234",,"1,107",,"50,930",,"6,197",,624,12,"306,299","3,280","93,389,220",Africa,,
Guadeloupe,"55,147",,746,,"2,250",,"52,151",23,"137,792","1,864","551,264","1,377,402","400,220",North America,,
Fiji,"52,506",,696,,"51,037",,773,,"57,979",769,"460,369","508,357","905,601",Australia/Oceania,,
Suriname,"50,823",63,"1,166",,"29,570",1,"20,087",9,"85,555","1,963","159,256","268,090","594,040",South America,,
Syria,"48,068",,"2,744",,"29,078",,"16,246",,"2,656",152,"103,566","5,722","18,098,765",Asia,,
Eswatini,"46,582",,"1,248",,"45,241",,93,10,"39,574","1,060","388,043","329,663","1,177,091",Africa,,
French Guiana,"45,939",,327,,"11,254",,"34,358",9,"148,396","1,056","450,336","1,454,710","309,571",South America,,
French Polynesia,"45,609",,636,,N/A,N/A,N/A,7,"161,050","2,246",,,"283,197",Australia/Oceania,,
Madagascar,"44,330",,967,,"42,915",,448,3,"1,545",34,"283,728","9,889","28,692,364",Africa,,
Martinique,"44,318",,700,,104,,"43,514",1,"118,227","1,867","416,247","1,110,421","374,855",North America,,
Sudan,"42,826",,"3,141",,"32,905",,"6,780",,946,69,"238,579","5,268","45,289,797",Africa,,
Malta,"39,435",106,468,,"37,386",54,"1,581",2,"88,978","1,056","1,211,456","2,733,423","443,201",Europe,,
Mauritania,"39,213",,831,,"37,468",,914,14,"8,133",172,"502,267","104,171","4,821,560",Africa,,
Cabo Verde,"38,367",,349,,"37,949",,69,23,"67,967",618,"211,166","374,079","564,496",Africa,,
Guyana,"37,825",,992,,"35,379",,"1,454",17,"47,765","1,253","389,843","492,286","791,903",South America,,
Gabon,"37,342",,279,,"32,296",,"4,767",10,"16,238",121,"1,399,453","608,557","2,299,627",Africa,,
Papua New Guinea,"35,179",89,546,1,"33,989",105,644,7,"3,830",59,"249,149","27,124","9,185,619",Australia/Oceania,,
Guinea,"30,770",,387,,"29,725",,658,49,"2,257",28,"569,940","41,804","13,633,779",Africa,,
Belize,"30,338",,574,,"28,646",,"1,118",10,"74,396","1,408","347,892","853,113","407,791",North America,,
Tanzania,"26,261",,730,,N/A,N/A,N/A,7,423,12,,,"62,126,685",Africa,,
Togo,"26,250",,243,,"25,907",,100,,"3,070",28,"578,042","67,594","8,551,728",Africa,,
Haiti,"25,175",,738,,"21,262",,"3,175",,"2,171",64,"132,422","11,417","11,598,368",North America,,
Barbados,"25,152",,228,,"21,727",,"3,197",,"87,372",792,"435,366","1,512,365","287,871",North America,,
Benin,"24,850",,161,,"24,546",,143,5,"1,977",13,"604,310","48,076","12,569,832",Africa,,
Seychelles,"23,197",,125,,"22,590",,482,,"233,829","1,260",,,"99,205",Africa,,
Somalia,"23,016",,"1,327",,"12,046",,"9,643",,"1,393",80,"262,138","15,871","16,516,763",Africa,,
Bahamas,"22,763",,671,,"21,607",,485,4,"57,116","1,684","168,197","422,034","398,539",North America,,
Lesotho,"21,779",,662,,"13,689",,"7,428",,"10,054",306,"259,044","119,585","2,166,185",Africa,,
Mauritius,"21,386",,455,,"19,543",,"1,388",,"16,777",357,"358,675","281,370","1,274,744",Africa,,
Mayotte,"20,960",,185,,"2,964",,"17,811",,"74,306",656,"176,919","627,203","282,076",Africa,,
Burundi,"20,415",19,38,,773,,"19,604",,"1,648",3,"345,742","27,908","12,388,680",Africa,,
Timor-Leste,"19,822",,122,,"19,697",,3,,"14,642",90,"169,501","125,204","1,353,796",Asia,,
Congo,"18,905",,354,,"12,421",,"6,130",,"3,311",62,"188,207","32,966","5,709,163",Africa,,
Iceland,"17,894",124,35,,"16,318",175,"1,541",2,"51,962",102,"1,248,736","3,626,199","344,365",Europe,,
